,Z1_ActualPosition,X1_OutputCurrent,M1_sequence_number,S1_ActualPosition,Y1_OutputCurrent,S1_OutputCurrent,M1_CURRENT_FEEDRATE,X1_DCBusVoltage,X1_OutputVoltage,clamp_pressure,Y1_DCBusVoltage,Y1_OutputVoltage
3116,28.5,326.0,87.0,-488.0,325.0,318.0,6.0,0.099,13.8,3.0,0.0362,2.83
6012,28.7,325.0,65.0,1330.0,324.0,315.0,6.0,0.0839,12.6,4.0,0.0841,8.03
14088,29.5,327.0,29.0,1790.0,326.0,323.0,3.0,0.0665,9.23,3.0,0.0232,3.08
11488,28.5,327.0,79.0,-395.0,325.0,321.0,3.0,0.053,4.69,4.0,0.116,10.7
17672,29.7,327.0,37.0,-2030.0,325.0,322.0,3.0,0.047,3.13,3.0,0.0999,11.0
13186,28.5,327.0,63.0,89.0,326.0,323.0,3.0,0.0461,7.04,3.0,0.0821,9.63
23891,30.3,328.0,96.0,-920.0,326.0,320.0,3.0,0.0333,3.6,2.5,0.0224,1.21
4620,29.5,326.0,14.0,-457.0,325.0,319.0,6.0,0.0833,15.1,2.5,0.0186,3.25
956,27.5,326.0,121.0,281.0,324.0,322.0,6.0,0.0888,15.2,4.0,0.0724,7.32
6098,28.7,325.0,75.0,1840.0,324.0,321.0,6.0,0.0851,12.9,4.0,0.0469,7.99
7044,29.7,326.0,55.0,-578.0,324.0,319.0,20.0,0.025,2.13,4.0,0.0293,0.988
19841,55.7,329.0,0.0,-927.0,328.0,329.0,50.0,0.0381,5.01,3.0,0.0382,4.09
18390,119.0,330.0,0.0,42.0,328.0,330.0,50.0,0.0222,2.0,3.0,0.0173,1.78
8147,55.7,328.0,0.0,383.0,326.0,327.0,50.0,0.0504,3.11,4.0,0.0315,2.93
17034,27.7,327.0,106.0,-309.0,326.0,323.0,3.0,0.0513,10.3,3.0,0.0885,7.79
22136,28.5,327.0,2.0,-1930.0,326.0,319.0,3.0,0.0614,8.6,2.5,0.0763,4.33
17068,28.7,327.0,81.0,1850.0,326.0,319.0,3.0,0.0742,8.95,3.0,0.0914,5.44
21435,28.5,327.0,76.0,-503.0,326.0,321.0,3.0,0.0762,8.78,2.5,0.0508,9.53
19242,55.7,330.0,0.0,-927.0,328.0,330.0,50.0,0.039,5.82,3.0,0.0442,2.19
2986,55.5,329.0,0.0,1550.0,328.0,329.0,50.0,0.0661,4.51,3.0,0.0313,1.94
321,29.5,326.0,2.0,1180.0,325.0,318.0,6.0,0.0986,13.5,4.0,0.0375,1.99
14971,27.7,327.0,103.0,1640.0,325.0,323.0,3.0,0.0231,3.95,4.0,0.0323,8.25
11126,28.5,326.0,75.0,-752.0,325.0,321.0,3.0,0.0986,9.52,4.0,0.112,10.0
1286,119.0,328.0,0.0,-1160.0,332.0,331.0,50.0,2.79e-19,0.0,4.0,2.68e-19,0.0
24900,119.0,330.0,0.0,455.0,329.0,330.0,20.0,0.022,1.57,2.5,0.0314,1.11
4609,119.0,329.0,0.0,-486.0,328.0,329.0,6.0,0.0229,0.834,2.5,0.015,0.609
17013,30.7,329.0,9.0,42.0,328.0,329.0,50.0,0.0233,2.68,3.0,0.0221,1.69
21842,27.5,327.0,104.0,2040.0,326.0,323.0,3.0,0.069,6.75,2.5,0.0577,5.42
19849,27.7,326.0,123.0,-1390.0,325.0,321.0,6.0,0.113,11.2,3.0,0.163,16.2
23250,27.7,327.0,128.0,-2080.0,326.0,321.0,3.0,0.0884,9.27,2.5,0.0481,3.05
180,29.5,325.0,29.0,430.0,324.0,319.0,6.0,0.0826,12.7,4.0,0.0215,2.25
238,29.5,326.0,37.0,739.0,324.0,319.0,6.0,0.0812,4.56,4.0,0.055,12.2
3443,28.5,326.0,2.0,-995.0,325.0,320.0,6.0,0.101,9.24,3.0,0.103,13.9
4833,33.7,327.0,0.0,-1230.0,325.0,327.0,50.0,0.0281,1.2,3.0,0.0191,2.88
8310,27.7,324.0,106.0,-204.0,323.0,320.0,15.0,0.102,26.8,4.0,0.0794,5.0
12113,27.5,327.0,119.0,873.0,326.0,324.0,3.0,0.0775,8.44,3.0,0.0462,4.09
17914,28.7,327.0,79.0,1640.0,326.0,322.0,3.0,0.0964,7.72,3.0,0.0707,9.28
21393,55.7,330.0,0.0,-1720.0,329.0,330.0,50.0,0.0219,0.91,2.5,0.0236,1.65
22094,27.5,327.0,117.0,-1060.0,326.0,319.0,3.0,0.0809,8.29,2.5,0.07,4.3
14914,29.7,327.0,40.0,328.0,325.0,321.0,3.0,0.066,8.95,4.0,0.0886,6.42
3527,119.0,329.0,0.0,339.0,328.0,329.0,6.0,0.0405,0.766,3.0,0.0225,3.2
13332,27.5,327.0,128.0,1990.0,325.0,322.0,3.0,0.0842,8.76,3.0,0.0366,4.12
16392,28.7,327.0,81.0,-244.0,325.0,319.0,3.0,0.098,10.8,4.0,0.0903,5.46
14776,29.7,327.0,23.0,-1100.0,325.0,318.0,3.0,0.085,9.34,4.0,0.106,4.3
21929,27.5,327.0,124.0,-337.0,326.0,324.0,3.0,0.0456,3.98,2.5,0.0772,9.94
17880,28.7,327.0,85.0,-2030.0,326.0,324.0,3.0,0.0452,2.34,3.0,0.159,12.5
13467,27.5,327.0,111.0,275.0,326.0,322.0,3.0,0.0955,9.08,3.0,0.0238,0.684
6870,28.7,325.0,57.0,-551.0,324.0,320.0,20.0,0.117,27.6,4.0,0.127,21.9
18212,119.0,330.0,0.0,42.0,328.0,329.0,50.0,0.0196,2.0,3.0,0.02,1.53
4587,29.5,326.0,2.0,66.7,324.0,322.0,6.0,0.105,12.7,2.5,0.1,11.4
23269,29.7,327.0,42.0,-1160.0,325.0,317.0,3.0,0.0705,3.79,2.5,0.105,10.1
20482,52.8,326.0,52.0,-340.0,325.0,318.0,50.0,0.0445,3.72,3.0,0.0199,0.322
24577,27.7,327.0,112.0,840.0,325.0,320.0,3.0,0.101,7.9,2.5,0.123,10.2
16948,28.7,328.0,77.0,1560.0,326.0,323.0,3.0,0.0511,5.81,3.0,0.11,10.9
9187,28.7,324.0,77.0,1920.0,323.0,321.0,12.0,0.107,20.8,4.0,0.0632,10.2
258,29.5,326.0,39.0,847.0,325.0,319.0,6.0,0.114,14.1,4.0,0.0899,6.02
4115,28.5,326.0,63.0,-1750.0,325.0,321.0,6.0,0.0382,5.93,3.0,0.0935,13.8
5558,27.7,325.0,110.0,-869.0,324.0,321.0,6.0,0.0581,10.2,4.0,0.0769,12.7
10163,29.5,327.0,2.0,143.0,326.0,324.0,3.0,0.0679,8.63,4.0,0.0514,7.06
2219,119.0,325.0,0.0,905.0,327.0,323.0,50.0,2.78e-19,0.0,4.0,2.69e-19,0.0
8604,55.7,327.0,2.0,-978.0,326.0,327.0,50.0,0.0517,1.73,4.0,0.0208,1.0
8946,28.7,324.0,83.0,2060.0,323.0,321.0,12.0,0.0435,5.67,4.0,0.107,20.9
17997,28.7,327.0,85.0,-1990.0,326.0,324.0,3.0,0.0949,8.76,3.0,0.149,9.5
1309,29.5,326.0,22.0,333.0,324.0,323.0,20.0,0.031,2.06,4.0,0.179,33.4
13944,34.3,327.0,54.0,-633.0,326.0,324.0,3.0,0.0168,2.98,3.0,0.0163,1.0
222,29.5,325.0,35.0,654.0,324.0,319.0,6.0,0.1,12.9,4.0,0.064,4.81
17753,27.7,327.0,124.0,1510.0,326.0,324.0,3.0,0.0423,2.88,3.0,0.126,9.75
9014,119.0,327.0,0.0,383.0,326.0,327.0,50.0,0.0207,0.947,4.0,0.0191,2.07
10559,29.5,327.0,34.0,-81.0,325.0,323.0,3.0,0.0957,7.24,4.0,0.0968,9.0
22160,29.5,327.0,23.0,-791.0,326.0,324.0,3.0,0.0778,9.38,2.5,0.0835,5.09
7905,28.7,324.0,77.0,-785.0,323.0,316.0,15.0,0.0875,23.4,4.0,0.14,13.3
24187,51.7,329.0,7.0,455.0,326.0,329.0,50.0,0.102,29.3,2.5,0.171,45.5
6264,28.7,325.0,55.0,896.0,324.0,320.0,6.0,0.0872,13.9,4.0,0.0159,1.98
23979,27.7,327.0,104.0,-18.6,326.0,320.0,3.0,0.0846,9.11,2.5,0.105,6.6
11098,28.5,327.0,81.0,-42.8,325.0,320.0,3.0,0.109,8.69,4.0,0.0965,7.78
